id,date,time,what_i_did,user_id
1349,2025-05-31,21:00-23:00,Do anything like Watching drawing and More,samadhi
2,2025-06-14,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
3,2025-06-14,8:31-9:00, Play,The G.O.A.T
4,2025-06-14,9:01-9:20, do UCMAS,The G.O.A.T
5,2025-06-14,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
6,2025-06-14,10:31-11:00,Do anything,The G.O.A.T
7,2025-06-14,11:01-12:00, Maybe told to do homework or play outside.,The G.O.A.T
8,2025-06-14,12:01-1:00,Eat,The G.O.A.T
9,2025-06-14,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
10,2025-06-14,2:01-3:30, anything,The G.O.A.T
11,2025-06-14,3:30-6:00, Home work,The G.O.A.T
12,2025-06-14,6:01-7:30, Watch,The G.O.A.T
13,2025-06-14,7:31-8:30,Dinner,The G.O.A.T
15,2025-06-13,7:30,Woke Up,The G.O.A.T
16,2025-06-13,7:31-8:05,Get ready to go to school,The G.O.A.T
17,2025-06-13,8:05,Walk to school,The G.O.A.T
18,2025-06-13,8:10,Arrive at school,The G.O.A.T
19,2025-06-13,8:11-8:30, Wait until school starts,The G.O.A.T
20,2025-06-13,8:31-2:00, went to track and field,The G.O.A.T
21,2025-06-13,2:01-2:50,French,The G.O.A.T
22,2025-06-13,2:51-3:00,go home,The G.O.A.T
23,2025-06-13,3:00-3:05, arrive at home,The G.O.A.T
24,2025-06-13,3:06-4:00, Watch,The G.O.A.T
25,2025-06-13,4:00-5:29, get ready for swimming class,The G.O.A.T
26,2025-06-13,5:30 -7:31, Have swimming class,The G.O.A.T
27,2025-06-13,7:31-8:30,Go home and eat,The G.O.A.T
29,2025-06-18,7:00-8:20,Woke up and got ready to go to school.,The G.O.A.T
30,2025-06-18,8:21-8:30,pack up and go to school,The G.O.A.T
31,2025-06-18,8:31-2:50,school time,The G.O.A.T
32,2025-06-18,2:51-3:00,Decide when to walk home  and walk at that time.,The G.O.A.T
33,2025-06-18,3:01-3:20,take out my lunch box and change my clothes.,The G.O.A.T
34,2025-06-18,3:21-4:30,Watch,The G.O.A.T
35,2025-06-18,4:31-4:45,drawing,The G.O.A.T
37,2025-06-18,5:01-6:04,python,The G.O.A.T
38,2025-06-18,6:05-9:10,Play outside,The G.O.A.T
39,2025-06-18,9:10-9:45,Eat,The G.O.A.T
40,2025-06-28,7:30-8:00,woke up and got ready for the day,The G.O.A.T
41,2025-06-28,8:00-8:30,breakfast,The G.O.A.T
44,2025-06-28,8:30-9:30,played in backyard,The G.O.A.T
45,2025-06-28,9:30-2:30,played,The G.O.A.T
50,2025-06-28,2:30-4:20,helped aaba with sorting cards,The G.O.A.T
49,2025-06-28,4:20-7:30,python coding,The G.O.A.T
52,2025-06-28,7:35-9:00,ate pani puri,The G.O.A.T
51,2025-06-28,7:30-7:35,took a bath,The G.O.A.T
1,2025-06-14,23:00-07:00,Sleep,The G.O.A.T
14,2025-06-14,23:00-07:00,Sleep,The G.O.A.T
28,2025-06-13,23:00-07:00,Sleep,The G.O.A.T
36,2025-06-18,23:00-07:00,Sleep,The G.O.A.T
53,2025-06-28,23:00-07:00,Sleep,The G.O.A.T
56,2025-06-18,23:00-07:00,Sleep,The G.O.A.T
55,2025-06-14,23:00-07:00,Sleep,The G.O.A.T
54,2025-06-13,23:00-07:00,Sleep,The G.O.A.T
57,2025-05-01,7:30-7:59,Woke up brushed made bed,The G.O.A.T
58,2025-05-01,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
