Date,Time,What I Did,user_id
2025-06-14,7:30-7:59,Woke up brushed made bed,
2025-06-14,8:00-8:30,Go downstairs and eat breakfast,
2025-06-14,8:31-9:00, Play,
2025-06-14,9:01-9:20, do UCMAS,
2025-06-14,9:21-10:30,Do anything like Watching drawing and More,
2025-06-14,10:31-11:00,Do anything,
2025-06-14,11:01-12:00, Maybe told to do homework or play outside.,
2025-06-14,12:01-1:00,Eat,
2025-06-14,1:01-2:00,eat if didn't eat from 12:01-1:00,
2025-06-14,2:01-3:30, anything,
2025-06-14,3:30-6:00, Home work,
2025-06-14,6:01-7:30, Watch,
2025-06-14,7:31-8:30,Dinner,
2025-06-14,8:31-9:20,Try to sleep,
2025-06-13,7:30,Woke Up,
2025-06-13,7:31-8:05,Get ready to go to school,
2025-06-13,8:05,Walk to school,
2025-06-13,8:10,Arrive at school,
2025-06-13,8:11-8:30, Wait until school starts,
2025-06-13,8:31-2:00, went to track and field,
2025-06-13,2:01-2:50,French,
2025-06-13,2:51-3:00,go home,
2025-06-13,3:00-3:05, arrive at home,
2025-06-13,3:06-4:00, Watch,
2025-06-13,4:00-5:29, get ready for swimming class,
2025-06-13,5:30 -7:31, Have swimming class,
2025-06-13,7:31-8:30,Go home and eat,
2025-06-13,8:31-9:00,Brush teeth and go to sleep,
2025-06-18,7:00-8:20,Woke up and got ready to go to school.,
2025-06-18,8:21-8:30,pack up and go to school,
2025-06-18,8:31-2:50,school time,
2025-06-18,2:51-3:00,Decide when to walk home  and walk at that time.,
2025-06-18,3:01-3:20,take out my lunch box and change my clothes.,
2025-06-18,3:21-4:30,Watch,
2025-06-18,4:31-4:45,drawing,
2025-06-18,4:46-5:00,power nap,
2025-06-18,5:01-6:04,python,
2025-06-18,6:05-9:10,Play outside,
2025-06-18,9:10-9:45,Eat,
